ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
002250.SZ,20251029,11.34,122,7,18,25,25,15,12,15,12,ACCUMULATING,🔥 主力吸筹,-0.2035,0.062,🟢 信号确认,0,11.31,11.43,0.5493
002004.SZ,20251029,4.95,118,7,16,25,20,15,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0804,0.0931,🟢 信号确认,0,4.93,4.95,0.6329
002057.SZ,20251029,11.09,110,6,10,21,25,15,12,15,12,ACCUMULATING,🔥 主力吸筹,-0.0562,0.0778,🟢 信号确认,0,10.95,11.21,0.6121
603619.SH,20251029,20.1,104,6,14,25,8,15,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.1394,0.0056,🟢 信号确认,0,19.8,19.58,0.6821
002626.SZ,20251029,20.38,96,6,18,6,21,15,12,8,16,ACCUMULATING,🔥 主力吸筹,-0.014,0.0349,🟢 信号确认,0,20.16,20.39,0.5939
000848.SZ,20251029,8.91,95,5,16,25,7,15,15,5,12,WASHING,🟡 底部洗盘,-0.0639,0.0045,🟢 信号确认,0,8.86,8.86,0.6284
301286.SZ,20251029,27.43,94,5,14,15,7,15,15,12,16,WASHING,🟡 底部洗盘,-0.0245,0.0041,🟢 信号确认,0,27.14,27.35,0.6352
601236.SH,20251029,9.16,85,5,10,18,7,15,15,8,12,WASHING,🟡 底部洗盘,-0.0318,0.0045,🟢 信号确认,0,9.02,8.98,0.6779
000967.SZ,20251029,7.06,74,3,10,15,7,15,15,0,12,WASHING,🟡 底部洗盘,-0.0215,0.0043,🟢 接近,1,6.99,6.96,0.5817
000507.SZ,20251029,5.59,72,3,10,9,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0127,0.0,🟢 接近,1,5.55,5.55,0.6751
600586.SH,20251029,5.15,69,3,11,15,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0188,-0.0039,🟢 接近,1,5.08,5.06,0.6193
002057.SZ,20251031,10.95,116,7,16,25,25,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0676,0.061,🟢 信号确认,0,10.95,10.95,0.5049
600621.SH,20251031,16.7,110,7,14,25,21,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0749,0.0265,🟢 信号确认,0,16.65,16.48,0.5535
301565.SZ,20251031,24.78,108,7,14,25,22,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0857,0.0518,🟢 信号确认,0,24.58,25.42,0.5325
601059.SH,20251031,19.11,117,6,18,25,25,10,12,15,12,ACCUMULATING,🔥 主力吸筹,-0.0801,0.0758,🟢 信号确认,0,19.31,19.41,0.3829
002792.SZ,20251031,18.59,104,6,18,18,11,15,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0313,0.0157,🟢 信号确认,0,18.12,18.33,0.6887
600864.SH,20251031,7.49,102,6,14,25,21,10,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.1257,0.0328,🟢 信号确认,0,7.55,7.51,0.4182
301179.SZ,20251031,17.17,100,6,14,18,14,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0314,0.0108,🟢 信号确认,0,16.8,16.66,0.6927
603277.SH,20251031,18.2,97,5,18,25,25,10,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.1258,0.0616,🟢 信号确认,0,18.27,18.5,0.4717
002400.SZ,20251031,8.5,95,5,18,15,8,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0199,0.0072,🟢 信号确认,0,8.35,8.35,0.677
002884.SZ,20251031,17.41,92,5,18,21,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0405,0.0,🟢 信号确认,0,17.23,17.35,0.6984
301047.SZ,20251031,75.9,87,5,20,6,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0093,0.0139,🟢 信号确认,0,74.15,73.8,0.6663
301381.SZ,20251031,24.15,86,5,18,12,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0151,0.0,🟢 信号确认,0,23.79,24.15,0.6167
600741.SH,20251031,20.42,82,5,14,12,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0114,0.0035,🟢 信号确认,0,20.04,19.89,0.6947
002304.SZ,20251031,70.8,83,4,18,15,8,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.018,0.0085,🟢 信号确认,0,69.95,69.95,0.6496
002984.SZ,20251031,19.44,78,4,20,15,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0174,-0.0031,🟢 信号确认,0,19.31,19.25,0.5934
