ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
000507.SZ,95,6,20240506,20240509,5.07,20240603,4.706,17,7800,False,-2878.55,-7.27,硬止损-9%
002630.SZ,107,6,20240507,20240509,2.745,20240531,2.548,16,14500,False,-2897.66,-7.27,硬止损-9%
000617.SZ,95,6,20240507,20240513,6.062,20240530,5.626,13,6500,False,-2868.12,-7.27,硬止损-9%
000063.SZ,108,6,20240513,20240516,28.587,20240530,26.533,10,1300,False,-2705.04,-7.27,硬止损-9%
601528.SH,89,6,20240514,20240516,5.261,20240611,4.882,17,7600,False,-2910.06,-7.27,硬止损-9%
300463.SZ,108,6,20240926,20240927,12.886,20241015,13.723,7,3100,True,3257.13,8.15,MA10追踪出场
603511.SH,118,7,20241105,20241107,12.004,20241128,12.136,15,3300,False,394.63,1.0,横盘15天出场
002603.SZ,114,7,20241106,20241107,17.956,20241125,16.666,12,2200,False,-2875.34,-7.27,硬止损-9%
002907.SZ,80,6,20241106,20241107,14.278,20241118,13.252,7,2800,False,-2910.06,-7.27,硬止损-9%
000888.SZ,78,6,20241206,20241210,13.557,20241218,13.713,6,2900,True,1093.02,2.78,MA10追踪出场
300138.SZ,107,6,20241209,20241212,9.599,20241219,8.909,5,4100,False,-2864.69,-7.27,硬止损-9%
000998.SZ,115,7,20241216,20241217,11.323,20241225,10.509,6,3500,False,-2884.53,-7.27,硬止损-9%
600019.SH,118,7,20241220,20241223,7.004,20250113,6.501,14,5700,False,-2905.9,-7.27,硬止损-9%
002155.SZ,104,6,20250124,20250205,18.056,20250303,17.834,18,2200,False,-527.15,-1.33,横盘18天出场
600050.SH,95,6,20250207,20250210,5.471,20250227,6.367,13,7300,True,5539.53,13.86,MA10追踪出场
688097.SH,122,6,20250211,20250213,28.657,20250217,26.598,2,1300,False,-2711.68,-7.27,硬止损-9%
002276.SZ,119,7,20250213,20250217,9.148,20250317,16.227,20,4300,True,22002.12,55.88,MA10追踪出场
002489.SZ,114,6,20250214,20250220,3.607,20250317,3.603,17,11000,False,-88.25,-0.22,横盘17天出场
300304.SZ,107,6,20250217,20250219,8.828,20250228,8.193,7,4500,False,-2891.46,-7.27,硬止损-9%
002017.SZ,92,6,20250219,20250221,11.182,20250303,10.379,6,3500,False,-2848.79,-7.27,硬止损-9%
001311.SZ,104,6,20250224,20250226,30.14,20250303,27.974,3,1300,False,-2852.0,-7.27,硬止损-9%
002367.SZ,99,6,20250224,20250226,7.214,20250324,7.285,18,5500,False,350.43,0.88,横盘18天出场
688548.SH,105,6,20250228,20250306,11.333,20250312,10.518,4,3500,False,-2887.08,-7.27,硬止损-9%
601609.SH,100,6,20250305,20250307,6.313,20250328,6.313,15,6300,True,660.99,1.66,成本止损
605099.SH,98,6,20250306,20250312,22.044,20250403,20.46,16,1800,False,-2888.18,-7.27,硬止损-9%
002367.SZ,78,6,20250306,20250310,7.415,20250331,7.275,15,5300,False,-777.27,-1.98,横盘15天出场
601226.SH,97,6,20250320,20250321,7.615,20250327,7.068,4,5200,False,-2882.34,-7.27,硬止损-9%
