ts_code,tier,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,position_size,partial_sold,realized_pnl,pnl_pct,exit_reason,capital_used
002884.SZ,2,100,5,20230908,20230912,16.633,20230920,16.667,6,1500,25000,False,25.1,0.1,横盘6天出场,24974.75
688685.SH,1,110,7,20231106,20231108,20.922,20231124,21.168,12,2300,50000,False,516.7,1.07,横盘12天出场,48168.17
603053.SH,2,97,6,20231106,20231110,10.281,20231120,10.229,6,2400,25000,False,-147.0,-0.6,横盘6天出场,24697.92
688676.SH,2,96,6,20231106,20231108,33.557,20231120,33.104,8,700,25000,False,-340.5,-1.45,横盘8天出场,23513.38
300722.SZ,2,105,5,20231108,20231113,29.038,20231124,26.372,9,800,25000,False,-2154.11,-9.26,硬止损-13%,23253.6
600435.SH,2,92,5,20231109,20231113,11.763,20231121,11.527,6,2100,25000,False,-521.02,-2.11,横盘6天出场,24728.01
688050.SH,1,118,7,20231123,20231124,189.378,20231206,185.189,8,200,50000,False,-874.86,-2.31,横盘8天出场,37913.48
605488.SH,2,85,5,20231123,20231128,15.771,20231219,18.194,15,1500,25000,True,3339.4,14.1,MA5追踪出场,23680.88
000507.SZ,2,95,6,20240506,20240509,5.07,20240517,5.02,6,4900,25000,False,-270.48,-1.09,横盘6天出场,24868.43
002630.SZ,2,107,6,20240507,20240509,2.745,20240517,2.685,6,9100,25000,False,-578.26,-2.31,横盘6天出场,25008.85
000617.SZ,2,95,6,20240507,20240513,6.062,20240521,5.958,6,4100,25000,False,-450.99,-1.81,横盘6天出场,24879.46
601968.SH,2,79,6,20240507,20240513,5.591,20240521,5.739,6,4400,25000,False,623.05,2.53,横盘6天出场,24625.71
002508.SZ,2,93,5,20240510,20240515,26.142,20240523,25.938,6,900,25000,False,-207.09,-0.88,横盘6天出场,23551.49
000029.SZ,2,88,5,20240510,20240513,11.874,20240523,12.066,8,2100,25000,False,378.11,1.51,横盘8天出场,24959.7
000063.SZ,2,108,6,20240513,20240516,28.587,20240614,27.764,20,800,25000,False,-680.37,-2.97,横盘20天出场,22892.52
601528.SH,2,89,6,20240514,20240516,5.261,20240524,5.339,6,4700,25000,False,345.27,1.4,横盘6天出场,24749.07
600392.SH,2,94,5,20240514,20240520,10.541,20240524,9.573,4,2300,25000,False,-2248.14,-9.26,硬止损-13%,24268.64
601788.SH,2,89,5,20240521,20240522,16.864,20240607,15.315,12,1400,25000,False,-2189.23,-9.26,硬止损-13%,23632.73
300298.SZ,2,96,6,20240924,20240926,25.421,20241010,29.87,5,900,25000,True,3556.46,15.53,MA5追踪出场,22901.54
603129.SH,2,94,5,20240924,20240930,164.208,20241015,149.13,6,100,25000,False,-1522.67,-9.26,硬止损-13%,16437.2
600664.SH,2,91,5,20240924,20240925,3.277,20241010,3.683,6,7600,25000,True,3024.02,12.13,MA5追踪出场,24926.61
300222.SZ,2,92,5,20240925,20240926,6.112,20241011,7.375,6,4000,25000,True,4332.91,17.7,MA5追踪出场,24473.25
688001.SH,2,86,5,20240925,20240926,25.3,20241010,31.237,5,900,25000,True,4443.86,19.5,MA5追踪出场,22793.22
300463.SZ,2,108,6,20240926,20240927,12.886,20241011,14.092,5,1900,25000,True,2466.76,10.07,MA5追踪出场,24507.35
603392.SH,2,77,5,20240926,20240927,75.02,20241010,76.866,4,300,25000,True,1206.77,5.36,MA5追踪出场,22528.43
603511.SH,1,118,7,20241105,20241107,12.004,20241119,12.026,8,4100,50000,False,40.65,0.08,横盘8天出场,49265.45
002603.SZ,1,114,7,20241106,20241107,17.956,20241120,17.575,9,2700,50000,False,-1076.31,-2.22,横盘9天出场,48529.25
002907.SZ,2,80,6,20241106,20241107,14.278,20241120,13.972,9,1700,25000,False,-544.8,-2.24,横盘9天出场,24297.72
601528.SH,2,82,5,20241106,20241107,5.441,20241115,5.539,6,4500,25000,False,416.25,1.7,横盘6天出场,24508.35
