ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal
IDT,C,2025-09-05,2025-09-08,64.733,2025-09-29,63.798,15,154,False,-149.0,-1.49,117,横盘15天出场,9973.92,ACCUMULATING
SU,C,2025-09-05,2025-09-08,39.832,2025-10-01,40.902,17,251,False,263.53,2.63,107,横盘17天出场,10002.76,ACCUMULATING
KFY,C,2025-09-05,2025-09-08,71.523,2025-10-06,70.158,20,139,False,-194.64,-1.96,102,横盘20天出场,9946.63,ACCUMULATING
HUYA,C,2025-09-08,2025-09-09,3.493,2025-10-01,3.246,16,2862,False,-713.83,-7.14,123,硬止损-7%,10003.37,ACCUMULATING
VAC,C,2025-09-08,2025-09-09,75.592,2025-09-25,70.23,12,132,False,-712.38,-7.14,105,硬止损-7%,9983.08,ACCUMULATING
NTRS,C,2025-09-08,2025-09-09,126.015,2025-10-01,129.555,16,79,False,274.55,2.76,95,横盘16天出场,9960.18,ACCUMULATING
NVST,C,2025-09-09,2025-09-10,20.921,2025-10-01,20.34,15,477,False,-282.11,-2.83,106,横盘15天出场,9984.26,ACCUMULATING
FNF,C,2025-09-09,2025-09-10,56.212,2025-10-01,56.958,15,177,False,127.0,1.28,102,横盘15天出场,9954.51,ACCUMULATING
PRK,C,2025-09-09,2025-09-10,167.047,2025-10-09,155.198,21,59,False,-703.65,-7.14,86,硬止损-7%,9860.69,ACCUMULATING
APG,C,2025-09-10,2025-09-11,35.385,2025-10-02,34.406,15,282,False,-281.15,-2.82,117,横盘15天出场,9983.66,ACCUMULATING
DDD,C,2025-09-10,2025-09-11,2.142,2025-10-10,2.887,21,4668,True,2782.79,27.82,101,MA10追踪出场,10004.51,ACCUMULATING
SQM,C,2025-09-10,2025-09-11,41.852,2025-10-10,41.894,21,238,True,106.28,1.07,83,成本止损,9965.71,ACCUMULATING
JKS,C,2025-09-11,2025-09-12,24.264,2025-09-18,24.288,4,412,True,279.55,2.79,125,成本止损,10001.87,ACCUMULATING
IBKR,C,2025-09-11,2025-09-12,63.217,2025-10-10,68.782,20,158,True,974.31,9.75,96,MA10追踪出场,9993.35,ACCUMULATING
FUL,C,2025-09-12,2025-09-15,61.578,2025-09-25,57.21,8,162,False,-712.2,-7.14,104,硬止损-7%,9980.61,ACCUMULATING
AAP,C,2025-09-12,2025-09-15,60.379,2025-10-07,56.096,16,165,False,-711.27,-7.14,81,硬止损-7%,9967.44,ACCUMULATING
AES,C,2025-09-15,2025-09-16,12.709,2025-10-10,13.717,18,786,True,993.06,9.94,102,MA10追踪出场,9994.3,ACCUMULATING
BHC,C,2025-09-15,2025-09-16,7.157,2025-09-24,6.649,6,1397,False,-713.84,-7.14,96,硬止损-7%,10003.54,ACCUMULATING
TLK,C,2025-09-15,2025-09-16,20.0,2025-09-30,18.581,10,500,False,-713.94,-7.14,80,硬止损-7%,10004.99,ACCUMULATING
HOV,C,2025-09-16,2025-09-17,153.103,2025-09-22,142.243,3,65,False,-710.5,-7.14,79,硬止损-7%,9956.67,ACCUMULATING
FVRR,C,2025-09-17,2025-09-18,24.595,2025-09-25,24.619,5,406,True,278.1,2.78,108,成本止损,9990.39,ACCUMULATING
SNN,C,2025-09-17,2025-09-18,36.232,2025-10-09,35.151,15,275,False,-302.14,-3.03,99,横盘15天出场,9968.9,ACCUMULATING
XYZ,C,2025-09-19,2025-09-22,76.576,2025-10-13,74.945,15,130,False,-216.97,-2.18,109,横盘15天出场,9959.92,ACCUMULATING
STWD,C,2025-09-19,2025-09-22,18.683,2025-10-16,17.358,18,535,False,-713.62,-7.14,108,硬止损-7%,10000.41,ACCUMULATING
FSS,C,2025-09-19,2025-09-22,124.641,2025-10-01,115.8,7,80,False,-711.89,-7.14,105,硬止损-7%,9976.24,ACCUMULATING
SPXC,C,2025-09-22,2025-09-23,189.92,2025-10-14,185.095,15,52,False,-255.71,-2.59,107,横盘15天出场,9880.76,ACCUMULATING
