ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal,green_count
GGB,C,2025-08-29,2025-09-05,3.186,2025-10-03,3.249,20,3138,False,193.21,1.93,78,横盘20天出场,10003.59,ACCUMULATING,6
HAS,C,2025-09-08,2025-09-11,78.75,2025-09-16,73.165,3,126,False,-708.41,-7.14,103,硬止损-7%,9927.5,ACCUMULATING,7
TXT,C,2025-09-11,2025-09-15,82.275,2025-10-13,81.622,20,121,False,-84.03,-0.84,84,横盘20天出场,9960.29,ACCUMULATING,6
FNF,C,2025-09-25,2025-09-30,57.214,2025-10-09,53.156,7,174,False,-710.75,-7.14,102,硬止损-7%,9960.2,ACCUMULATING,6
BEP,C,2025-09-30,2025-10-01,26.403,2025-11-05,29.963,25,378,True,1283.84,12.86,84,MA10追踪出场,9985.45,ACCUMULATING,6
EDU,C,2025-10-14,2025-10-15,58.488,2025-11-07,54.34,17,170,False,-709.88,-7.14,102,硬止损-7%,9948.0,ACCUMULATING,7
GFF,C,2025-10-28,2025-11-03,74.743,2025-11-14,69.441,9,133,False,-709.72,-7.14,101,硬止损-7%,9945.79,ACCUMULATING,7
CM,C,2025-10-30,2025-11-03,83.207,2025-12-23,91.552,35,120,True,1006.2,10.07,67,持仓35天强制出场,9989.85,ACCUMULATING,6
DY,C,2025-11-05,2025-11-07,286.696,2025-12-08,348.561,20,34,True,1798.32,18.44,101,MA10追踪出场,9752.55,ACCUMULATING,6
GMRE,C,2025-12-05,2025-12-09,33.64,2026-01-08,34.572,20,297,False,271.63,2.72,105,横盘20天出场,9995.97,ACCUMULATING,6
AIR,C,2025-12-15,2025-12-19,82.793,2026-01-28,103.956,25,120,True,2025.31,20.38,89,MA10追踪出场,9940.09,ACCUMULATING,6
JKS,C,2025-12-26,2026-01-02,27.968,2026-01-20,27.996,11,357,True,197.0,1.97,93,成本止损,9989.55,ACCUMULATING,6
AMCR,C,2026-01-07,2026-01-08,42.831,2026-03-02,48.102,35,233,True,1205.61,12.07,105,持仓35天强制出场,9984.67,ACCUMULATING,7
EQH,C,2026-01-08,2026-01-14,47.3,2026-02-04,43.945,14,211,False,-712.54,-7.14,98,硬止损-7%,9985.35,ACCUMULATING,7
AKAM,C,2026-01-09,2026-01-12,91.361,2026-02-02,96.533,14,109,True,769.77,7.73,105,MA10追踪出场,9963.36,ACCUMULATING,7
BX,C,2026-01-12,2026-01-16,161.783,2026-01-23,150.308,4,61,False,-704.58,-7.14,105,硬止损-7%,9873.71,ACCUMULATING,7
KVUE,C,2026-01-13,2026-01-20,17.408,2026-03-03,18.132,29,574,True,595.46,5.96,104,MA10追踪出场,9997.0,ACCUMULATING,6
BKU,C,2026-01-13,2026-01-14,44.932,2026-01-28,46.568,9,222,True,608.34,6.1,101,MA10追踪出场,9979.83,ACCUMULATING,6
BV,C,2026-01-14,2026-01-21,13.503,2026-02-04,12.546,10,740,False,-713.42,-7.14,102,硬止损-7%,9997.58,ACCUMULATING,6
PRLB,C,2026-01-14,2026-01-21,55.485,2026-02-20,65.305,21,180,True,1574.94,15.76,81,MA10追踪出场,9992.37,ACCUMULATING,6
DXCM,C,2026-01-15,2026-01-22,73.994,2026-02-06,68.746,11,135,False,-713.17,-7.14,104,硬止损-7%,9994.17,ACCUMULATING,7
UGI,C,2026-01-15,2026-01-21,37.713,2026-02-19,37.974,20,265,False,64.1,0.64,99,横盘20天出场,9999.02,ACCUMULATING,6
PAGS,C,2026-01-16,2026-01-21,10.5,2026-02-03,11.329,9,952,True,922.79,9.23,105,MA10追踪出场,10001.46,ACCUMULATING,7
SHG,C,2026-01-16,2026-01-20,55.696,2026-02-26,69.47,26,179,True,1922.2,19.27,98,MA10追踪出场,9974.5,ACCUMULATING,7
GILD,C,2026-01-20,2026-01-23,135.298,2026-02-19,150.116,18,73,True,1034.59,10.47,98,MA10追踪出场,9881.66,ACCUMULATING,6
HESM,C,2026-01-21,2026-01-23,34.577,2026-03-16,39.301,35,289,True,1229.08,12.29,104,持仓35天强制出场,9997.77,ACCUMULATING,7
BV,C,2026-01-27,2026-02-02,13.814,2026-02-04,12.834,2,723,False,-713.04,-7.14,101,硬止损-7%,9992.37,ACCUMULATING,6
RPM,C,2026-01-28,2026-02-03,110.543,2026-03-04,108.205,20,90,False,-215.28,-2.16,104,横盘20天出场,9953.87,ACCUMULATING,6
KVUE,C,2026-01-30,2026-02-04,17.823,2026-03-05,18.232,20,561,False,224.01,2.24,97,横盘20天出场,10003.88,ACCUMULATING,7
SPXC,C,2026-02-02,2026-02-05,218.238,2026-02-25,218.456,13,45,True,188.29,1.92,103,成本止损,9825.62,ACCUMULATING,7
TRNO,C,2026-02-02,2026-02-06,65.609,2026-03-09,60.956,20,152,False,-711.99,-7.14,93,硬止损-7%,9977.58,ACCUMULATING,7
SEM,C,2026-02-04,2026-02-05,15.42,2026-03-27,16.274,35,648,False,547.74,5.48,103,持仓35天强制出场,9997.35,ACCUMULATING,6
KDP,C,2026-02-05,2026-02-11,29.658,2026-03-06,27.554,16,337,False,-713.57,-7.14,95,硬止损-7%,9999.72,ACCUMULATING,7
SXT,C,2026-02-05,2026-02-10,102.152,2026-02-13,94.906,3,97,False,-707.43,-7.14,97,硬止损-7%,9913.7,ACCUMULATING,6
VRTX,C,2026-02-10,2026-02-13,491.961,2026-03-05,457.067,13,20,False,-702.47,-7.14,94,硬止损-7%,9844.15,ACCUMULATING,6
FTK,C,2026-03-09,2026-03-12,18.378,2026-03-16,18.397,2,544,True,-127.88,-1.28,94,成本止损,10002.83,ACCUMULATING,6
TAL,C,2026-04-13,2026-04-14,11.682,2026-04-17,12.627,3,856,False,804.11,8.04,102,持仓35天强制出场,10004.51,ACCUMULATING,7
