ticker,trade_date,pool,close,score,green_count,rs_rank,vol_ratio,chg_3d,chg_5d,pct_chg,pct_from_52h,ma10,ma21,ma50,ma10_slope,signal
ARIS,2025-08-29,A,8.680000305175781,23,7,90.4,2.0,9.2,22.1,5.85,0.6,7.5,7.4,7.18,7.99,🟢 强势突破
DQ,2025-08-29,A,25.350000381469727,22,7,99.2,3.0,6.9,10.9,10.99,4.0,23.25,22.37,20.56,4.09,🟢 强势突破
NXE,2025-08-29,A,7.880000114440918,21,7,85.9,2.1,7.8,11.0,5.91,4.7,7.07,6.95,6.88,4.19,🟢 强势突破
SA,2025-08-29,A,17.440000534057617,20,7,94.2,1.8,3.5,5.4,5.7,0.9,16.6,16.52,15.86,0.22,🟢 强势突破
SNDK,2025-08-29,A,52.470001220703125,20,6,93.2,1.7,10.8,13.2,3.15,10.1,47.23,45.41,44.84,3.84,🟢 强势突破
PSTG,2025-08-29,A,77.61000061035156,17,6,94.7,2.9,32.5,33.1,-3.64,3.8,62.19,59.77,57.86,7.59,🟢 强势突破
BABA,2025-08-29,A,135.0,21,5,78.3,7.4,8.7,9.8,12.9,7.5,122.72,121.55,117.58,1.14,🟢 强势突破
FSM,2025-08-29,A,7.699999809265137,18,5,89.9,1.6,2.1,2.0,3.36,0.6,7.39,7.11,6.83,3.11,🟢 强势突破
HE,2025-08-29,A,12.960000038146973,18,5,79.3,2.3,6.2,6.2,0.54,3.4,12.14,11.61,11.1,5.3,🟢 强势突破
HP,2025-08-29,B,20.54340171813965,17,5,93.0,0.9,10.2,10.4,3.31,20.0,18.55,17.37,16.47,5.87,🟢 强势突破
AG,2025-08-29,A,9.137648582458496,12,5,95.4,1.5,1.4,1.6,2.01,3.6,8.85,8.71,8.56,0.87,🟢 确认突破
ELAN,2025-08-29,A,18.350000381469727,20,4,92.2,9.2,2.5,2.5,-0.54,2.8,17.91,16.98,15.52,1.52,🟢 强势突破
CHRW,2025-08-29,A,127.13045501708984,16,4,91.4,1.5,1.4,2.8,-0.46,1.9,123.99,120.02,106.81,3.34,🟢 强势突破
GRMN,2025-08-29,A,238.9730987548828,16,4,77.0,1.6,4.0,2.5,0.32,0.5,231.78,229.42,221.41,0.76,🟢 强势突破
HPQ,2025-08-29,A,27.47760009765625,16,4,71.6,1.5,5.7,2.9,0.67,4.4,26.3,25.54,24.76,2.09,🟢 强势突破
AMRX,2025-08-29,A,9.5600004196167,15,4,88.8,1.5,1.9,-0.3,0.1,2.3,9.43,9.0,8.51,1.1,🟢 强势突破
FRO,2025-08-29,A,20.257402420043945,15,4,70.6,1.9,4.0,1.6,0.87,0.8,19.39,18.96,18.17,4.93,🟢 强势突破
TAC,2025-08-29,A,12.25468921661377,8,4,85.3,1.8,0.7,1.8,-2.09,3.6,12.22,12.18,11.72,0.08,🟡 突破初期
ASB,2025-08-29,A,26.255111694335938,13,3,73.5,1.5,1.0,1.8,-0.15,1.8,25.45,24.58,24.53,3.85,🟢 确认突破
FNB,2025-08-29,A,16.334314346313477,13,3,79.4,1.5,1.0,1.2,-0.12,1.4,15.96,15.41,15.19,3.28,🟢 确认突破
AG,2025-09-02,A,9.607527732849121,23,7,94.0,2.3,5.8,7.9,5.14,0.1,8.93,8.79,8.59,1.59,🟢 强势突破
MUX,2025-09-02,A,13.789999961853027,23,7,97.1,5.8,25.6,27.1,19.39,1.2,11.16,10.81,10.71,5.98,🟢 强势突破
BTE,2025-09-02,A,2.350606918334961,21,7,94.1,1.8,8.3,10.3,5.83,0.8,2.13,2.08,2.0,5.07,🟢 强势突破
EXK,2025-09-02,A,6.5,21,7,97.6,1.8,9.4,13.0,4.17,1.1,5.83,5.63,5.44,4.48,🟢 强势突破
NGD,2025-09-02,A,6.119999885559082,21,7,91.4,1.5,7.6,10.7,3.73,0.0,5.6,5.23,4.87,6.85,🟢 强势突破
SSRM,2025-09-02,A,19.950000762939453,21,7,96.8,1.5,8.2,13.9,3.31,0.2,17.84,16.52,14.21,7.34,🟢 强势突破
SVM,2025-09-02,A,5.059999942779541,20,7,81.3,1.8,8.1,11.2,4.55,3.0,4.62,4.59,4.58,2.37,🟢 强势突破
NEM,2025-09-02,A,75.23716735839844,19,7,92.7,1.8,4.8,6.7,1.96,0.9,71.05,69.34,63.69,3.43,🟢 强势突破
