rank,stop_loss,partial_sell,max_hold,stale_force,trail_ma,min_green,min_score,yellow_score,chip_filter,trades,win_rate,wl_ratio,pf,total_pnl,avg_pnl_pct,max_dd_streak,avg_days,partial_rate,phase
1,-0.13,0.2,25,20,20,6,55,105,Y,187,46.0,2.05,1.74,192722.0,2.61,9,18.4,23.5,C
2,-0.13,0.2,25,20,7,6,55,105,Y,187,46.0,2.04,1.74,191216.0,2.59,9,16.9,23.5,C
3,-0.13,0.21,25,20,15,6,55,105,Y,187,46.0,2.03,1.73,189730.0,2.57,9,18.2,22.5,C
4,-0.13,0.23,25,20,15,6,55,105,Y,187,45.5,2.08,1.73,190445.0,2.58,9,18.2,21.4,C
5,-0.13,0.22,25,20,15,6,55,105,Y,187,45.5,2.06,1.72,187772.0,2.54,9,18.2,21.4,C
6,-0.13,0.2,20,20,15,6,55,105,Y,187,46.0,2.01,1.71,182198.0,2.46,9,16.5,21.9,C
7,-0.13,0.2,25,20,15,6,60,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,A
8,-0.13,0.2,25,25,15,6,60,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,A
9,-0.13,0.2,25,35,15,6,60,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,A
10,-0.13,0.2,25,20,15,6,55,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,B
11,-0.13,0.2,25,20,15,6,55,105,N,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,B
12,-0.13,0.2,25,20,15,6,60,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,B
13,-0.13,0.2,25,20,15,6,60,105,N,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,B
14,-0.13,0.2,25,20,15,6,70,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,B
15,-0.13,0.2,25,20,15,6,70,105,N,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,B
16,-0.13,0.2,25,20,15,6,55,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,C
17,-0.13,0.2,25,20,15,6,55,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,C
18,-0.13,0.2,25,20,15,6,55,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,C
19,-0.13,0.2,25,20,15,6,55,105,Y,187,46.0,1.97,1.68,176834.0,2.39,9,18.1,23.5,C
20,-0.11,0.2,25,20,15,6,60,105,Y,187,46.0,1.97,1.68,176466.0,2.38,9,17.1,23.5,A
21,-0.11,0.2,25,25,15,6,60,105,Y,187,46.0,1.97,1.68,176466.0,2.38,9,17.1,23.5,A
22,-0.11,0.2,25,35,15,6,60,105,Y,187,46.0,1.97,1.68,176466.0,2.38,9,17.1,23.5,A
23,-0.135,0.2,25,20,15,6,55,105,Y,187,46.0,1.97,1.68,176266.0,2.38,9,18.1,23.5,C
24,-0.13,0.2,25,20,15,6,55,60,Y,191,46.6,1.91,1.67,177697.0,2.35,9,18.0,23.0,B
25,-0.13,0.2,25,20,15,6,55,60,N,191,46.6,1.91,1.67,177697.0,2.35,9,18.0,23.0,B
26,-0.13,0.2,25,20,15,6,60,60,Y,191,46.6,1.91,1.67,177697.0,2.35,9,18.0,23.0,B
27,-0.13,0.2,25,20,15,6,60,60,N,191,46.6,1.91,1.67,177697.0,2.35,9,18.0,23.0,B
28,-0.13,0.2,25,20,15,6,70,60,Y,191,46.6,1.91,1.67,177697.0,2.35,9,18.0,23.0,B
29,-0.13,0.2,25,20,15,6,70,60,N,191,46.6,1.91,1.67,177697.0,2.35,9,18.0,23.0,B
30,-0.13,0.2,25,20,15,5,70,105,Y,259,45.6,1.99,1.66,236310.0,2.31,16,18.2,22.8,B
31,-0.13,0.2,25,20,15,5,70,105,N,259,45.6,1.99,1.66,236310.0,2.31,16,18.2,22.8,B
32,-0.13,0.19,25,20,15,6,55,105,Y,187,46.0,1.95,1.66,171817.0,2.32,9,18.1,23.5,C
33,-0.13,0.2,25,20,15,6,55,80,Y,189,46.0,1.95,1.66,175213.0,2.35,9,18.1,23.3,B
34,-0.13,0.2,25,20,15,6,55,80,N,189,46.0,1.95,1.66,175213.0,2.35,9,18.1,23.3,B
35,-0.13,0.2,25,20,15,6,60,80,Y,189,46.0,1.95,1.66,175213.0,2.35,9,18.1,23.3,B
36,-0.13,0.2,25,20,15,6,60,80,N,189,46.0,1.95,1.66,175213.0,2.35,9,18.1,23.3,B
37,-0.13,0.2,25,20,15,6,70,80,Y,189,46.0,1.95,1.66,175213.0,2.35,9,18.1,23.3,B
38,-0.13,0.2,25,20,15,6,70,80,N,189,46.0,1.95,1.66,175213.0,2.35,9,18.1,23.3,B
39,-0.13,0.2,25,20,15,5,70,80,Y,263,46.4,1.92,1.66,241130.0,2.31,16,18.3,22.4,B
40,-0.13,0.2,25,20,15,5,70,80,N,263,46.4,1.92,1.66,241130.0,2.31,16,18.3,22.4,B
41,-0.125,0.2,25,20,15,6,55,105,Y,187,46.0,1.94,1.65,172694.0,2.33,9,17.9,23.5,C
42,-0.07,0.2,50,20,15,6,60,105,Y,187,42.2,2.25,1.65,168470.0,2.27,9,14.9,24.6,A
43,-0.07,0.2,50,25,15,6,60,105,Y,187,42.2,2.25,1.65,168470.0,2.27,9,14.9,24.6,A
44,-0.07,0.2,50,35,15,6,60,105,Y,187,42.2,2.25,1.65,168470.0,2.27,9,14.9,24.6,A
45,-0.13,0.2,25,20,15,5,55,105,Y,260,45.8,1.95,1.65,233299.0,2.27,16,18.1,22.7,B
46,-0.13,0.2,25,20,15,5,55,105,N,260,45.8,1.95,1.65,233299.0,2.27,16,18.1,22.7,B
47,-0.13,0.2,25,20,15,5,70,60,Y,265,46.4,1.9,1.64,235852.0,2.24,16,18.2,21.9,B
48,-0.13,0.2,25,20,15,5,70,60,N,265,46.4,1.9,1.64,235852.0,2.24,16,18.2,21.9,B
49,-0.13,0.2,25,20,10,6,60,105,Y,187,46.0,1.93,1.64,167130.0,2.26,9,17.2,23.5,A
50,-0.13,0.2,25,25,10,6,60,105,Y,187,46.0,1.93,1.64,167130.0,2.26,9,17.2,23.5,A
51,-0.13,0.2,25,35,10,6,60,105,Y,187,46.0,1.93,1.64,167130.0,2.26,9,17.2,23.5,A
52,-0.13,0.2,25,20,10,6,55,105,Y,187,46.0,1.93,1.64,167130.0,2.26,9,17.2,23.5,C
53,-0.13,0.18,25,20,15,6,55,105,Y,187,46.0,1.93,1.64,167059.0,2.26,9,18.0,24.1,C
54,-0.11,0.2,50,20,15,6,60,105,Y,187,46.5,1.89,1.64,172093.0,2.32,9,18.8,25.7,A
55,-0.11,0.2,50,25,15,6,60,105,Y,187,46.5,1.89,1.64,172093.0,2.32,9,18.8,25.7,A
56,-0.11,0.2,50,35,15,6,60,105,Y,187,46.5,1.89,1.64,172093.0,2.32,9,18.8,25.7,A
57,-0.13,0.2,25,20,15,5,60,105,Y,259,45.6,1.96,1.64,232278.0,2.27,16,18.1,22.8,B
58,-0.13,0.2,25,20,15,5,60,105,N,259,45.6,1.96,1.64,232278.0,2.27,16,18.1,22.8,B
59,-0.14,0.2,25,20,15,6,55,105,Y,187,46.0,1.93,1.64,170816.0,2.31,9,18.2,23.5,C
60,-0.12,0.2,25,20,15,6,55,105,Y,187,46.0,1.93,1.64,170575.0,2.3,9,17.5,23.5,C
61,-0.11,0.2,25,20,10,6,60,105,Y,187,46.0,1.93,1.64,166763.0,2.25,9,16.2,23.5,A
62,-0.11,0.2,25,25,10,6,60,105,Y,187,46.0,1.93,1.64,166763.0,2.25,9,16.2,23.5,A
63,-0.11,0.2,25,35,10,6,60,105,Y,187,46.0,1.93,1.64,166763.0,2.25,9,16.2,23.5,A
64,-0.13,0.2,25,20,15,5,55,80,Y,265,46.4,1.89,1.64,237007.0,2.25,16,18.3,22.3,B
65,-0.13,0.2,25,20,15,5,55,80,N,265,46.4,1.89,1.64,237007.0,2.25,16,18.3,22.3,B
66,-0.13,0.2,25,20,15,5,60,80,Y,264,46.2,1.91,1.64,235986.0,2.25,16,18.3,22.3,B
67,-0.13,0.2,25,20,15,5,60,80,N,264,46.2,1.91,1.64,235986.0,2.25,16,18.3,22.3,B
68,-0.13,0.2,15,20,15,6,55,105,Y,187,46.5,1.88,1.64,162320.0,2.19,9,14.2,19.8,C
69,-0.09,0.2,50,20,15,6,60,105,Y,187,43.9,2.09,1.64,168393.0,2.27,9,16.8,25.1,A
70,-0.09,0.2,50,25,15,6,60,105,Y,187,43.9,2.09,1.64,168393.0,2.27,9,16.8,25.1,A
71,-0.09,0.2,50,35,15,6,60,105,Y,187,43.9,2.09,1.64,168393.0,2.27,9,16.8,25.1,A
72,-0.13,0.2,25,20,13,6,55,105,Y,187,46.0,1.92,1.63,164395.0,2.22,9,17.7,23.5,C
73,-0.13,0.08,25,20,15,6,60,105,Y,187,54.0,1.39,1.63,145651.0,1.96,9,16.4,47.6,A
74,-0.13,0.08,25,25,15,6,60,105,Y,187,54.0,1.39,1.63,145651.0,1.96,9,16.4,47.6,A
75,-0.13,0.08,25,35,15,6,60,105,Y,187,54.0,1.39,1.63,145651.0,1.96,9,16.4,47.6,A
76,-0.07,0.2,25,20,15,6,60,105,Y,187,42.2,2.23,1.63,162709.0,2.19,9,13.5,22.5,A
77,-0.07,0.2,25,25,15,6,60,105,Y,187,42.2,2.23,1.63,162709.0,2.19,9,13.5,22.5,A
78,-0.07,0.2,25,35,15,6,60,105,Y,187,42.2,2.23,1.63,162709.0,2.19,9,13.5,22.5,A
79,-0.09,0.2,25,20,15,6,60,105,Y,187,43.9,2.08,1.63,164839.0,2.22,9,15.4,23.0,A
80,-0.09,0.2,25,25,15,6,60,105,Y,187,43.9,2.08,1.63,164839.0,2.22,9,15.4,23.0,A
81,-0.09,0.2,25,35,15,6,60,105,Y,187,43.9,2.08,1.63,164839.0,2.22,9,15.4,23.0,A
82,-0.07,0.2,60,20,15,6,60,105,Y,187,42.2,2.22,1.62,161917.0,2.18,9,15.0,24.6,A
83,-0.07,0.2,60,25,15,6,60,105,Y,187,42.2,2.22,1.62,161917.0,2.18,9,15.0,24.6,A
84,-0.07,0.2,60,35,15,6,60,105,Y,187,42.2,2.22,1.62,161917.0,2.18,9,15.0,24.6,A
85,-0.13,0.2,25,20,15,5,55,60,Y,267,46.4,1.87,1.62,231729.0,2.18,16,18.2,21.7,B
86,-0.13,0.2,25,20,15,5,55,60,N,267,46.4,1.87,1.62,231729.0,2.18,16,18.2,21.7,B
87,-0.11,0.2,50,20,5,6,60,105,Y,187,46.5,1.87,1.62,166910.0,2.25,9,16.8,25.7,A
88,-0.11,0.2,50,25,5,6,60,105,Y,187,46.5,1.87,1.62,166910.0,2.25,9,16.8,25.7,A
89,-0.11,0.2,50,35,5,6,60,105,Y,187,46.5,1.87,1.62,166910.0,2.25,9,16.8,25.7,A
90,-0.13,0.2,50,20,15,6,60,105,Y,187,47.1,1.82,1.62,168800.0,2.28,9,20.8,25.7,A
91,-0.13,0.2,50,25,15,6,60,105,Y,187,47.1,1.82,1.62,168800.0,2.28,9,20.8,25.7,A
92,-0.13,0.2,50,35,15,6,60,105,Y,187,47.1,1.82,1.62,168800.0,2.28,9,20.8,25.7,A
93,-0.13,0.2,25,20,15,5,60,60,Y,266,46.2,1.88,1.62,230707.0,2.18,16,18.2,21.8,B
94,-0.13,0.2,25,20,15,5,60,60,N,266,46.2,1.88,1.62,230707.0,2.18,16,18.2,21.8,B
95,-0.11,0.2,60,20,15,6,60,105,Y,187,46.5,1.86,1.62,165540.0,2.23,9,18.9,25.7,A
96,-0.11,0.2,60,25,15,6,60,105,Y,187,46.5,1.86,1.62,165540.0,2.23,9,18.9,25.7,A
97,-0.11,0.2,60,35,15,6,60,105,Y,187,46.5,1.86,1.62,165540.0,2.23,9,18.9,25.7,A
98,-0.07,0.2,50,20,5,6,60,105,Y,187,42.2,2.21,1.62,160176.0,2.16,9,13.0,24.6,A
99,-0.07,0.2,50,25,5,6,60,105,Y,187,42.2,2.21,1.62,160176.0,2.16,9,13.0,24.6,A
100,-0.07,0.2,50,35,5,6,60,105,Y,187,42.2,2.21,1.62,160176.0,2.16,9,13.0,24.6,A
