rank,atr_mult,grace_days,grace_mult,pct_stop,partial_sell,max_hold,stale_force,trail_ma,trail_ma_late,min_green,yellow_score,min_score,trades,win_rate,wl_ratio,pf,total_pnl,avg_pnl_pct,max_dd_streak,avg_days,partial_rate
1,3.0,3,1.5,-0.13,0.2,35,20,20,21,6,105,60,187,38.5,2.81,1.76,188203.0,2.53,14,20.1,25.1
2,2.5,3,1.5,-0.13,0.2,35,20,15,21,6,105,60,187,38.5,2.72,1.7,172184.0,2.32,14,19.5,25.1
3,3.0,5,2.0,-0.13,0.2,80,30,7,15,6,105,60,187,37.4,2.83,1.69,176044.0,2.38,14,19.7,25.7
4,2.5,3,1.5,-0.09,0.25,60,25,10,21,6,105,60,187,31.6,3.66,1.69,170590.0,2.29,14,16.8,20.3
5,3.0,3,1.5,-0.09,0.25,60,30,10,21,6,105,60,187,32.1,3.56,1.68,169948.0,2.28,14,17.6,20.3
6,2.0,3,1.5,-0.13,0.2,50,30,7,15,6,105,60,187,37.4,2.79,1.67,172648.0,2.33,14,19.2,25.7
7,2.5,3,1.5,-0.13,0.2,50,30,7,15,6,105,60,187,37.4,2.79,1.67,172648.0,2.33,14,19.2,25.7
8,2.5,3,1.5,-0.13,0.2,40,25,15,21,6,105,60,187,37.4,2.78,1.66,167793.0,2.26,14,20.2,25.1
9,3.0,3,1.5,-0.13,0.2,50,30,7,15,6,105,60,187,37.4,2.77,1.66,170295.0,2.3,14,19.2,25.7
10,3.0,3,1.5,-0.13,0.2,40,25,15,21,6,105,60,187,37.4,2.76,1.65,165440.0,2.23,14,20.2,25.1
11,3.0,5,2.0,-0.13,0.2,50,25,10,21,6,105,100,153,35.3,3.02,1.65,130980.0,2.14,14,19.8,24.2
12,2.0,3,1.5,-0.11,0.2,50,25,10,21,6,105,60,187,36.9,2.8,1.63,156217.0,2.1,14,17.1,25.7
13,3.0,3,1.5,-0.09,0.2,60,25,10,21,6,105,90,180,35.6,2.95,1.63,148286.0,2.07,13,16.3,25.0
14,3.0,3,1.5,-0.09,0.2,60,25,10,21,6,105,80,186,36.0,2.89,1.62,152265.0,2.06,13,16.4,25.3
15,2.5,3,1.5,-0.11,0.2,50,25,10,21,6,105,60,187,36.9,2.78,1.62,154458.0,2.08,14,17.1,25.7
16,3.0,3,1.5,-0.09,0.2,60,25,10,21,6,105,100,153,33.3,3.2,1.6,122460.0,1.99,14,16.4,23.5
17,2.0,3,1.5,-0.13,0.2,50,25,10,21,6,105,60,187,37.4,2.67,1.6,151061.0,2.04,14,19.3,25.7
18,2.5,3,1.5,-0.13,0.2,50,25,10,21,6,105,60,187,37.4,2.67,1.6,151061.0,2.04,14,19.3,25.7
19,2.5,3,1.5,-0.13,0.2,50,25,10,21,6,105,60,187,37.4,2.67,1.6,151061.0,2.04,14,19.3,25.7
20,2.5,3,1.5,-0.09,0.2,60,25,10,21,6,105,60,187,35.3,2.93,1.6,147815.0,1.99,14,15.7,25.1
21,3.0,3,1.5,-0.09,0.2,60,30,10,21,6,105,60,187,35.8,2.86,1.59,147690.0,1.99,14,16.4,25.1
22,2.5,3,1.5,-0.13,0.2,45,25,10,21,6,105,60,187,37.4,2.65,1.59,149315.0,2.01,14,19.2,25.7
23,3.0,3,1.5,-0.13,0.2,50,25,10,21,6,105,60,187,37.4,2.65,1.58,148708.0,2.0,14,19.4,25.7
24,3.0,5,2.0,-0.13,0.2,50,25,10,21,6,105,60,187,37.4,2.65,1.58,148708.0,2.0,14,19.4,25.7
25,4.0,5,2.0,-0.15,0.25,60,30,10,21,6,105,60,187,33.7,3.12,1.58,156831.0,2.1,14,22.3,20.9
26,2.5,3,1.5,-0.09,0.2,80,35,10,21,6,105,60,187,35.3,2.9,1.58,145684.0,1.96,14,15.8,25.1
27,3.0,3,1.5,-0.11,0.2,50,25,10,21,6,105,60,187,36.9,2.71,1.58,148314.0,2.0,14,17.3,25.7
28,3.0,3,1.5,-0.13,0.2,60,25,10,21,6,105,60,187,37.4,2.64,1.58,147504.0,1.99,14,19.7,25.7
